 ,birthdays,party,department,office,title,field,male/female,question,answer
,3/28/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Get rid of it
,4/2/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,4/3/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,8/19/1999 4:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,12/20/1998 5:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Get rid of it
,5/16/2002 4:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Get rid of it
,8/25/2002 4:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,3/12/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Get rid of it
,3/31/2004 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/21/1999 12:00:00 AM,Republican,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,10/7/1997 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,12/5/2001 5:00:00 AM,Republican,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,7/12/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/14/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/15/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,1/17/1986 12:00:00 AM,Republican,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Keep it the same
,,Republican,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Keep it the same
,3/30/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,4/4/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,10/13/1992 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,3/31/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,4/1/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,3/26/2001 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,5/19/2002 4:00:00 AM,Republican,U.S. Senate,,,Communicators,F,What are your thoughts on the federal minimum wage?,Keep it the same
,5/18/2002 4:00:00 AM,,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Keep it the same
,12/30/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Keep it the same
,3/30/2004 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Keep it the same
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Keep it the same
,7/11/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Keep it the same
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Keep it the same
,uu/uu/1900 uu:uu:uu AM,,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,9/25/1999 12:00:00 AM,Democrat,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,2/6/1999 5:00:00 AM,Republican,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,3/27/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,3/25/1999 12:00:00 AM,Democrat,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,6/26/1994 12:00:00 AM,Democrat,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,7/8/2001 12:00:00 AM,Independent,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,3/29/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,7/9/2001 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,3/26/1999 12:00:00 AM,Democrat,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,1/22/1994 12:00:00 AM,Democrat,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,11/14/2001 5:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,2/6/2001 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,10/2/1971 12:00:00 AM,Democrat,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,8/25/1999 12:00:00 AM,Democrat,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,8/9/1995 4:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Raise it
,5/17/2002 4:00:00 AM,Republican,U.S. Senate,,,Communicators,F,What are your thoughts on the federal minimum wage?,Raise it
,5/15/2002 4:00:00 AM,Democrat,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Raise it
,3/24/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Raise it
,,,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Raise it
,6/11/2004 12:00:00 AM,Democrat,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,,,U.S. Senate,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,3/14/2000 12:00:00 AM,Democrat,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,12/13/2002 12:00:00 AM,Democrat,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,3/9/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,3/10/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,10/4/2003 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Raise it
,1/17/1994 12:00:00 AM,Independent,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,3/8/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,10/18/2002 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,8/11/2001 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,6/18/2001 4:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,2/12/2002 12:00:00 AM,Democrat,U.S. Senate,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,3/11/2000 12:00:00 AM,Republican,U.S. Senate,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,3/13/2000 12:00:00 AM,Republican,U.S. Senate,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,7/31/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,5/8/2001 4:00:00 AM,Democrat,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,3/8/2005 12:00:00 AM,Democrat,U.S. Senate,,,Other,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,7/16/2000 12:00:00 AM,Democrat,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,4/17/1988 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,4/18/1988 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,2/21/2002 12:00:00 AM,Democrat,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,11/20/2000 5:00:00 AM,Republican,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,4/25/1991 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,10/24/2000 4:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,5/24/1991 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/8/1999 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,7/9/1999 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/10/1999 12:00:00 AM,Democrat,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/13/1999 12:00:00 AM,Republican,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,4/11/1996 4:00:00 AM,Democrat,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,1/15/1986 12:00:00 AM,Democrat,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,1/16/1986 12:00:00 AM,Democrat,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,1/18/1986 12:00:00 AM,Democrat,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/9/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,7/10/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Raise it
,7/11/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/12/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it
,7/13/2001 12:00:00 AM,Democrat,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Raise it